"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","feature_rank"
"324","PAWR",7.68623017104194,1.13496761398431,44.5695328053819,6.0920631195687e-05,0.000169435505513004,0.325581395348837,0.124902541712147,"NPP_PDE3A+",32
"325","COLEC12",4.73727784288094,2.38474158811607,42.2269651777583,7.73138812663114e-05,0.000208513194930355,0.10077519379845,0.0165289256198347,"NPP_PDE3A+",33
"326","LRP2",5.31448962647634,1.89435045935096,41.3927854627388,8.33005231510257e-05,0.000218051369424744,0.116279069767442,0.025105254950881,"NPP_PDE3A+",34
"327","CRIM1",8.09479510983416,1.20646499683828,40.8125859455652,8.7072650194823e-05,0.000221413310495407,0.465116279069767,0.155153594261656,"NPP_PDE3A+",35
"328","KRT8",7.38872665095667,1.11158428602689,37.7194985051147,0.000119420122505486,0.000295233080638562,0.271317829457364,0.0963667550288477,"NPP_PDE3A+",36
"329","ANKRD33B",4.71155095675842,2.78253423782194,36.1699131048142,0.000142223375687319,0.000342104876653281,0.162790697674419,0.014657726493061,"NPP_PDE3A+",37
"330","ACSM3",5.0662370105215,2.80576953197291,35.4507525301877,0.000153081493583685,0.00035853297181442,0.178294573643411,0.018244191486044,"NPP_PDE3A+",38
"331","RAB11FIP1",6.56512739299725,1.71014458898646,34.3053698326107,0.000173573093533706,0.0003961027006282,0.271317829457364,0.0589427724933728,"NPP_PDE3A+",39
"332","CREB5",4.19959968425678,3.07786139797067,34.0161804734554,0.000182368238764561,0.000405769331251148,0.116279069767442,0.0127865273662872,"NPP_PDE3A+",40
"333","EPSTI1",6.63002879270861,1.39032558421943,33.0349212244429,0.000201092607627666,0.000436518099484446,0.248062015503876,0.0626851707469203,"NPP_PDE3A+",41
"334","ME1",5.79940098897082,1.81882855300667,32.6747699777927,0.000210316490741464,0.00044567065895215,0.155038759689922,0.0346171838453142,"NPP_PDE3A+",42
"335","HEG1",4.76623200837436,2.16479041139148,30.921024257264,0.000263832741711412,0.000541905203325835,0.131782945736434,0.0166848588803992,"NPP_PDE3A+",43
"336","DYNC1I1",4.15189898309414,2.59341637517547,30.8597940796898,0.000267908190408278,0.000541905203325835,0.10077519379845,0.011071261500078,"NPP_PDE3A+",44
"337","PDLIM1",5.90365384810079,1.652499859706,30.4963007559526,0.000274027624084944,0.000541965745412446,0.170542635658915,0.0374239825354748,"NPP_PDE3A+",45
"338","RASGEF1B",7.07477875027462,1.29671982143712,29.6582754158828,0.000303509281601537,0.000575832053568857,0.271317829457364,0.0796818961484485,"NPP_PDE3A+",46
"339","PRAG1",7.37882881516472,1.13534810078934,29.6413560505077,0.000304091084468947,0.000575832053568857,0.333333333333333,0.101356619366911,"NPP_PDE3A+",47
"340","EPB41L1",5.17866370033701,2.03391062150352,29.1252871739797,0.000328065237738714,0.0006082876283072,0.155038759689922,0.0243255886480586,"NPP_PDE3A+",48
"341","MID1",8.25790146186759,1.00825744439652,28.347382021592,0.000359522170694269,0.000653009656975304,0.441860465116279,0.166848588803992,"NPP_PDE3A+",49
"342","MIR4435-2HG",4.15002019794582,3.96524728388589,24.9553122194136,0.000578049071331308,0.00102462301144041,0.108527131782946,0.0137221269296741,"NPP_PDE3A+",50
"343","HCN1",6.45973023563642,1.38069969388835,24.826587813833,0.000587143523409672,0.00102462301144041,0.178294573643411,0.0519257757679713,"NPP_PDE3A+",51
"344","XACT",6.84240116218735,1.15445404994305,24.1518415552078,0.000648216112458662,0.00110944680786194,0.147286821705426,0.0573834398877281,"NPP_PDE3A+",52
"345","RSU1",6.94550977924221,1.04114784033425,23.0996333985853,0.000760196862931197,0.00127655699624295,0.224806201550388,0.0842039607048183,"NPP_PDE3A+",53
"346","MACC1",5.30634294566025,2.47280374874957,22.8934283239933,0.000786069911257535,0.00129555966855409,0.147286821705426,0.0233899890846718,"NPP_PDE3A+",54
"347","ANK2",7.13978266403582,1.06298499851803,22.5515841856465,0.000827391478568209,0.00133886984713765,0.271317829457364,0.0885700920006237,"NPP_PDE3A+",55
"348","ASPH",6.85078747264884,1.02186013488595,21.9981373020432,0.00090369264478981,0.00143622581046952,0.186046511627907,0.0707937002962732,"NPP_PDE3A+",56
"349","LDLR",5.41761242984914,1.81931781129955,21.4525646862265,0.000991939016663483,0.00154733884665925,0.178294573643411,0.0280679869016061,"NPP_PDE3A+",57
"350","ANXA2",5.32319992527534,1.62263656409632,21.3395231946213,0.00101508429658095,0.00154733884665925,0.108527131782946,0.0277561203804772,"NPP_PDE3A+",58
"351","PPFIBP2",5.93519094486473,1.28905342100031,21.2414904292336,0.00102576395452692,0.00154733884665925,0.162790697674419,0.0396070481833775,"NPP_PDE3A+",59
"352","LINC00540",6.48777617697626,1.02157373989061,21.0887588399285,0.00104871247704276,0.00155559017428009,0.155038759689922,0.057695306408857,"NPP_PDE3A+",60
"353","MSRB3",4.35882426928606,2.12353394401455,20.1195123410585,0.00125313490907302,0.00182834437553277,0.10077519379845,0.0132543271479807,"NPP_PDE3A+",61
"354","NPC1",5.72152670947096,1.32134110834679,19.4200836406415,0.00139832279481987,0.00200726981837046,0.13953488372093,0.03586464992983,"NPP_PDE3A+",62
"355","NOS1AP",6.49648890026746,1.52155960228344,19.0219359453631,0.00148927540568524,0.00210389700168233,0.248062015503876,0.0590987057539373,"NPP_PDE3A+",63
"356","ARFGAP3",6.24326424625698,1.00881507139024,17.8824544571936,0.00183604578187703,0.00255325116542275,0.170542635658915,0.0522376422891003,"NPP_PDE3A+",64
"357","CDK6",6.82501386443533,1.31638395520752,16.1860828305201,0.00252911902988991,0.00346294759477234,0.271317829457364,0.0678309683455481,"NPP_PDE3A+",65
"358","KEL",5.00492029513161,1.62073027966277,16.077476315664,0.00261785657366014,0.00353013992508716,0.116279069767442,0.0199594573522532,"NPP_PDE3A+",66
"359","NOL4",5.06116951662764,1.89204683502222,15.9463927306364,0.00267517041115502,0.0035535845760119,0.108527131782946,0.0232340558241073,"NPP_PDE3A+",67
"360","UBASH3B",5.29962113982248,1.81180141632865,15.8517848635828,0.0027191024548401,0.00355882527177602,0.124031007751938,0.0243255886480586,"NPP_PDE3A+",68
"361","NRP1",5.88728555720478,1.42861257527869,15.269630150454,0.0030506734282245,0.00393492659582581,0.147286821705426,0.0388273818805551,"NPP_PDE3A+",69
"362","SCN9A",5.68788917227853,1.30890430093121,14.8400732271062,0.00334502852152283,0.0042529648345076,0.13953488372093,0.0347731171058787,"NPP_PDE3A+",70
"363","TACC1",5.34932790493589,1.2188091708235,14.4471146231713,0.00365424409948307,0.00458067218104215,0.108527131782946,0.0272883205987837,"NPP_PDE3A+",71
"364","TNFRSF21",5.69566097418933,1.19389993874891,14.1166132393972,0.0039044678556175,0.00482635609930497,0.124031007751938,0.0343053173241852,"NPP_PDE3A+",72
