"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","group2","comp"
"206","PLCL1",10.0646674513695,0.908800409150088,26.4213672986015,2.75046247035595e-07,0.000333529764826321,0.387533875338753,0.20708446866485,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"207","KIF26B",10.071843949223,0.881114561489431,25.045914917863,5.60840601824278e-07,0.000646088373301568,0.401084010840108,0.215258855585831,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"208","TTC3",10.2949899066342,-0.759831016714146,23.9242692847304,1.00369075284157e-06,0.00109742125376159,0.346883468834688,0.4141689373297,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"209","CUX1",9.98232100549857,0.885159936864429,23.8412977398356,1.04788487772374e-06,0.00109742125376159,0.373983739837398,0.196185286103542,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"210","CYP26A1",6.48094517618754,-4.06836925977308,23.7313330324672,1.10947851247767e-06,0.00111140804032546,0.002710027100271,0.0381471389645777,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"211","VPS13D",8.99962722687453,-1.16521186415683,23.6329409956008,1.16766206193367e-06,0.00112095557945632,0.149051490514905,0.212534059945504,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"212","CDC25C",6.56954463054531,5.54915411559541,22.2657811706158,2.3774730165773e-06,0.00219107913207764,0.0487804878048781,0,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"213","MECOM",10.258353119289,0.74898218904153,20.7913595664272,5.12792622326717e-06,0.00454413154554137,0.444444444444444,0.228882833787466,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"214","CUX2",8.81340591637793,1.26939783947083,20.7046889079559,5.36528869944907e-06,0.00457837969019654,0.224932249322493,0.0762942779291553,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"215","MAFB",6.09675279682136,-5.17326634813817,20.2848329502222,6.68091873380853e-06,0.00549744170096245,0,0.0245231607629428,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"216","SET",8.28059602635985,1.56431973166015,20.1487119179567,7.17351187182356e-06,0.00569923150092465,0.143631436314363,0.0408719346049046,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"217","FN1",11.0338609962544,0.562366844858785,19.1691264807123,1.19764240031144e-05,0.00919789363439186,0.555555555555556,0.4141689373297,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"218","SEPTIN9",7.74887639835041,1.91447237096716,18.6677300206619,1.55756246911375e-05,0.0115762062220583,0.105691056910569,0.0272479564032698,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"219","STX8",7.85419556875619,1.77907391512545,18.04426922981,2.1603875789205e-05,0.0155547905682276,0.13550135501355,0.0299727520435967,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"220","CENPE",7.32347133021392,2.33961043062361,17.9160185945775,2.31092864522301e-05,0.0159892873769728,0.0894308943089431,0.0136239782016349,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"221","TPM4",8.69508198899834,1.2218182273781,17.7991717223878,2.45724395853509e-05,0.0159892873769728,0.186991869918699,0.0762942779291553,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"222","MSI2",9.69414350118496,0.836984944681154,17.7640777480529,2.50298033747703e-05,0.0159892873769728,0.333333333333333,0.196185286103542,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"223","AC009120.2",7.17954940517908,2.53562057590187,17.7548205086449,2.51518681555445e-05,0.0159892873769728,0.0840108401084011,0.0136239782016349,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"224","AC104041.1",8.90220768189121,1.12212382150546,17.7154855062035,2.56772410133678e-05,0.0159892873769728,0.235772357723577,0.0735694822888283,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"225","IFRD1",7.39539100293479,-1.87647298403319,17.4821554920133,2.90284562113332e-05,0.0176004113449768,0.02710027100271,0.0871934604904632,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"226","NECTIN2",7.95056401861398,1.6022806280497,16.3978826641908,5.13844870106112e-05,0.0298151314216689,0.132791327913279,0.0381471389645777,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"227","FOXP1",10.8986262098476,0.539669578399758,16.3839917487898,5.17623809403974e-05,0.0298151314216689,0.669376693766938,0.580381471389646,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"228","SRSF7",7.48189256772537,-1.72644417518798,16.1652102951494,5.80966814737728e-05,0.0319730030968587,0.037940379403794,0.0926430517711172,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"229","ZBTB16",8.13569176664638,1.46054339634369,16.1427160477485,5.87906251250665e-05,0.0319730030968587,0.149051490514905,0.0463215258855586,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"230","SKAP2",8.72769578467222,-1.05485271717322,16.1145332474841,5.96718373769498e-05,0.0319730030968587,0.127371273712737,0.168937329700272,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"231","SH3BP5",6.27083405258082,5.04810219618912,15.8638464432188,6.81188902457224e-05,0.0356695279832146,0.035230352303523,0,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"232","LAMA1",9.26009739000472,0.916893164183126,15.6988683658108,7.43244518648771e-05,0.0380541193548171,0.2710027100271,0.133514986376022,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"233","ACVR2B",7.12299281573736,2.38719425894894,15.6115836802842,7.78345497643506e-05,0.0389849570993617,0.0840108401084011,0.0108991825613079,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"234","KHSRP",7.94431383886347,1.52976313367144,15.1041461727656,0.000101810727404107,0.0499089182849069,0.138211382113821,0.0381471389645777,"PEN_1_KO","PEN_1_WT","PEN_1_KO _vs_ PEN_1_WT"
"235","MALAT1",14.0655668074566,-0.869529701265998,175.577012054997,1.01587762293802e-09,2.3405820432492e-05,0.965986394557823,0.990514905149051,"PEN_3_KO","PEN_3_WT","PEN_3_KO _vs_ PEN_3_WT"
"236","CNTNAP2",10.7137670188522,-1.38049935170746,92.9252248399702,7.63349916196707e-08,0.000879379103458606,0.306122448979592,0.640921409214092,"PEN_3_KO","PEN_3_WT","PEN_3_KO _vs_ PEN_3_WT"
"237","AC069277.1",11.0581840718235,-0.891048616480988,82.0982609142388,1.70745570328235e-07,0.00131132598012084,0.653061224489796,0.723577235772358,"PEN_3_KO","PEN_3_WT","PEN_3_KO _vs_ PEN_3_WT"
"238","NRXN3",10.5680928442876,-0.772923168617065,58.2337256427465,1.47103662948148e-06,0.00847317098581333,0.517006802721088,0.711382113821138,"PEN_3_KO","PEN_3_WT","PEN_3_KO _vs_ PEN_3_WT"
"239","EDIL3",7.40837269357333,1.81360317841383,52.3651501161494,2.79093384509875e-06,0.0113751777370669,0.19047619047619,0.0921409214092141,"PEN_3_KO","PEN_3_WT","PEN_3_KO _vs_ PEN_3_WT"
"240","VPS13D",9.8300477492127,-0.963035478050702,51.8370017067765,2.96228586902783e-06,0.0113751777370669,0.333333333333333,0.5420054200542,"PEN_3_KO","PEN_3_WT","PEN_3_KO _vs_ PEN_3_WT"
"241","GPC6",11.5460720309004,-0.4715426376003,40.6451408919091,1.20937892922183e-05,0.032163713778469,0.761904761904762,0.817073170731707,"PEN_3_KO","PEN_3_WT","PEN_3_KO _vs_ PEN_3_WT"
"242","BMPR1B",9.47501213859555,-1.50168993015683,40.6092320240728,1.21652678658644e-05,0.032163713778469,0.204081632653061,0.387533875338753,"PEN_3_KO","PEN_3_WT","PEN_3_KO _vs_ PEN_3_WT"
"243","SKAP2",9.66906709359473,-1.06067828955058,40.3724402126514,1.25639506947145e-05,0.032163713778469,0.346938775510204,0.536585365853659,"PEN_3_KO","PEN_3_WT","PEN_3_KO _vs_ PEN_3_WT"
"244","FOXP2",8.85056530351598,-1.43454603891297,37.1409613974359,2.00052411927894e-05,0.0460920757081868,0.197278911564626,0.383468834688347,"PEN_3_KO","PEN_3_WT","PEN_3_KO _vs_ PEN_3_WT"
"245","KCNMA1",11.0809192804928,3.2625967829301,72.1309015740776,5.03315405982564e-14,1.15963869538383e-09,0.670731707317073,0.466666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"246","GPC5",10.7604058207989,3.06102716942504,52.3832452559393,4.06708689134719e-11,4.68528409883196e-07,0.439024390243902,0.533333333333333,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"247","PDZRN3",10.4310993565816,3.36174043584971,45.1134363731505,5.75120134430438e-10,4.41692263242576e-06,0.573170731707317,0.266666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"248","LINC00486",12.7088361547682,1.12838169436308,42.945477513526,1.33497387522717e-09,7.68944952130851e-06,0.908536585365854,1,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"249","IGFBP5",11.9302389230502,1.43437806935456,40.4883820381237,3.42291308754598e-09,1.49693876413417e-05,0.798780487804878,0.866666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"250","SDK1",11.0656274101834,2.09553687881094,40.1547914180095,3.89827803159940e-09,1.49693876413417e-05,0.603658536585366,0.666666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
"251","TPM1",11.3742616258524,1.72862490898584,37.6543507339023,1.03388358206613e-08,3.40295396154339e-05,0.74390243902439,0.866666666666667,"IGFBP5+_KO","IGFBP5+_WT","IGFBP5+_KO _vs_ IGFBP5+_WT"
